Id,OrderHeaderId,Channel,TotalFreight,PayFreight,ExchangedFreight,ExchangedPoints,CreateTime,CreatedBy,LastUpdateTime,LastUpdatedBy,Remark,IsDeleted,CanDeleted,Status,Version,Sort,JoinExchangePoint,JoinExchangeAmount,OrderMsg,TicketExchangePoint,TicketExchangeAmount,FeeCustomerId,FeeCarrierId,TariffAmount,InvoiceCharge,UnionID,OpenID,TrackerCode,UserReceiveDate,ReturnEffectiveDate,ReturnExpiryDate,ReturnDateType,GrfStatusID,ParentOrderId,TariffRate
1157,8366502,Wechat,19.00,19.00,0.00,0,2016-03-04 11:47:37.573,uspInsertOrderHeaderXML,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,,,,NULL,NULL,NULL,0,,NULL,NULL
1158,8366503,Wechat,11.90,11.90,0.00,0,2016-03-04 11:47:37.610,uspInsertOrderHeaderXML,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,,,,NULL,NULL,NULL,0,,NULL,NULL
1159,8366504,Wechat,0.00,0.00,0.00,0,2016-03-04 11:47:37.640,uspInsertOrderHeaderXML,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,,,,NULL,NULL,NULL,0,,NULL,NULL
1160,8366505,Wechat,17.20,17.20,0.00,0,2016-03-04 11:47:37.667,uspInsertOrderHeaderXML,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,,,,NULL,NULL,NULL,0,,NULL,NULL
1161,8366506,Wechat,30.00,30.00,0.00,0,2016-03-04 11:47:37.690,uspInsertOrderHeaderXML,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,,,,NULL,NULL,NULL,0,,NULL,NULL
1162,8366507,Wechat,20.00,20.00,0.00,0,2016-03-04 11:47:37.720,uspInsertOrderHeaderXML,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,,,,NULL,NULL,NULL,0,,NULL,NULL
1163,8366508,Wechat,15.90,15.90,0.00,0,2016-03-04 11:47:37.747,uspInsertOrderHeaderXML,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,,,,NULL,NULL,NULL,0,,NULL,NULL
1164,8366509,Wechat,8.90,8.90,0.00,0,2016-03-04 11:47:37.777,uspInsertOrderHeaderXML,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,,,,NULL,NULL,NULL,0,,NULL,NULL
1165,8366510,Wechat,12.50,12.50,0.00,0,2016-03-04 11:47:37.803,uspInsertOrderHeaderXML,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,,,,NULL,NULL,NULL,0,,NULL,NULL
1166,8366511,Wechat,11.20,11.20,0.00,0,2016-03-04 11:47:37.837,uspInsertOrderHeaderXML,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,,,,NULL,NULL,NULL,0,,NULL,NULL
1167,8366512,Wechat,17.20,17.20,0.00,0,2016-03-04 11:47:37.873,uspInsertOrderHeaderXML,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,,,,NULL,NULL,NULL,0,,NULL,NULL
1168,8366513,Wechat,10.80,10.80,0.00,0,2016-03-04 11:47:37.907,uspInsertOrderHeaderXML,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,,,,NULL,NULL,NULL,0,,NULL,NULL
1169,8366520,Wechat,23.00,23.00,0.00,0,2016-03-04 11:47:37.933,uspInsertOrderHeaderXML,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,,,,NULL,NULL,NULL,0,,NULL,NULL
1170,8366521,Wechat,8.70,8.70,0.00,0,2016-03-04 11:47:37.973,uspInsertOrderHeaderXML,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,,,,NULL,NULL,NULL,0,,NULL,NULL
1171,8366522,Wechat,13.40,13.40,0.00,0,2016-03-04 11:47:38.017,uspInsertOrderHeaderXML,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,,,,NULL,NULL,NULL,0,,NULL,NULL
